timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,message_type,mmsi,call_sign,imo_number,speed__knots_,heading__deg_,course_over_ground__deg_,rate_of_turn,ship_type,destination,naviagation_status,dimension_bow,dimension_stern,dimension_port,dimension_starboard,draft,source_type,received_by_EDC,received_by_receiver,receiver,signal_strength,signal_noise_ratio,latitude,longitude,geometry
2024-01-14 21:52:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,208,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:52:37Z,,,-94,25,38.619921,-82.859709,POINT Z (-82.859709 38.619921 0)
2024-01-14 21:52:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,206,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:52:47Z,,,-93,25,38.61992,-82.85971,POINT Z (-82.85971 38.61992 0)
2024-01-14 21:52:58+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,306,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:52:58Z,,,-97,22,38.61992,-82.859709,POINT Z (-82.859709 38.61992 0)
2024-01-14 21:53:08+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,271,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:53:08Z,,,-93,24,38.619918,-82.859709,POINT Z (-82.859709 38.619918 0)
2024-01-14 21:53:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,313,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:53:18Z,,,-98,21,38.619916,-82.859707,POINT Z (-82.859707 38.619916 0)
2024-01-14 21:53:27+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,278,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:53:27Z,,,-93,25,38.619915,-82.859707,POINT Z (-82.859707 38.619915 0)
2024-01-14 21:53:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,165,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:53:37Z,,,-98,21,38.619916,-82.859707,POINT Z (-82.859707 38.619916 0)
2024-01-14 21:53:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,216,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:53:47Z,,,-92,26,38.619916,-82.859709,POINT Z (-82.859709 38.619916 0)
2024-01-14 21:53:58+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,273,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:53:58Z,,,-97,22,38.619915,-82.85971,POINT Z (-82.85971 38.619915 0)
2024-01-14 21:54:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,321,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:54:07Z,,,-91,27,38.619916,-82.85971,POINT Z (-82.85971 38.619916 0)
2024-01-14 21:54:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,288,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:54:18Z,,,-95,24,38.619916,-82.859712,POINT Z (-82.859712 38.619916 0)
2024-01-14 21:54:27+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,83,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:54:27Z,,,-90,28,38.619915,-82.85971,POINT Z (-82.85971 38.619915 0)
2024-01-14 21:54:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,176,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:54:37Z,,,-94,25,38.619915,-82.859714,POINT Z (-82.859714 38.619915 0)
2024-01-14 21:54:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,267,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:54:47Z,,,-90,28,38.619916,-82.859714,POINT Z (-82.859714 38.619916 0)
2024-01-14 21:54:57+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,317,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:54:57Z,,,-93,26,38.619915,-82.859714,POINT Z (-82.859714 38.619915 0)
2024-01-14 21:55:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,279,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:55:07Z,,,-90,28,38.619915,-82.85971,POINT Z (-82.85971 38.619915 0)
2024-01-14 21:55:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,267,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:55:18Z,,,-93,26,38.619916,-82.85971,POINT Z (-82.85971 38.619916 0)
2024-01-14 21:55:27+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,64,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:55:27Z,,,-89,29,38.619916,-82.859709,POINT Z (-82.859709 38.619916 0)
2024-01-14 21:55:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,272,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:55:37Z,,,-93,26,38.619915,-82.85971,POINT Z (-82.85971 38.619915 0)
2024-01-14 21:55:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,296,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:55:47Z,,,-89,28,38.619913,-82.859712,POINT Z (-82.859712 38.619913 0)
2024-01-14 21:55:57+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,253,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:55:57Z,,,-93,26,38.619911,-82.85971,POINT Z (-82.85971 38.619911 0)
